#separator:tab
#html:true
musiikki	music	1. Pidän musiikista paljon.<br>2. Musiikki on minun harrastukseni.<br>3. Kuuntelin musiikkia eilen.	1. I like music a lot.<br>2. Music is my hobby.<br>3. I listened to music yesterday.	topic::hobbies_in_depth topic::music topic::art topic::reading
soittaa	to play (instrument)	1. Soitan kitaraa joka päivä.<br>2. Hän soitti pianoa eilen.<br>3. Osaatko soittaa jotain soitinta?	1. I play guitar every day.<br>2. He played piano yesterday.<br>3. Can you play any instrument?	topic::hobbies_in_depth topic::music topic::art topic::reading
lukea	to read	1. Luen kirjaa joka ilta.<br>2. Hän luki sanomalehteä aamulla.<br>3. Lapset lukevat koulussa.	1. I read a book every evening.<br>2. She read a newspaper in the morning.<br>3. Children read at school.	topic::hobbies_in_depth topic::music topic::art topic::reading
piirtää	to draw	1. Pidän piirtämisestä.<br>2. Hän piirsi kuvan eilen.<br>3. Piirsin talon kynällä.	1. I like drawing.<br>2. She drew a picture yesterday.<br>3. I drew a house with a pencil.	topic::hobbies_in_depth topic::music topic::art topic::reading
maalata	to paint	1. Maalaan akvarelleilla.<br>2. Hän maalasi kauniin maiseman.<br>3. Haluatko maalata kanssani?	1. I paint with watercolors.<br>2. He painted a beautiful landscape.<br>3. Do you want to paint with me?	topic::hobbies_in_depth topic::music topic::art topic::reading
kirja	book	1. Ostin uuden kirjan kaupasta.<br>2. Tämä kirja on todella hyvä.<br>3. Lainasin kirjan kirjastosta.	1. I bought a new book from the store.<br>2. This book is really good.<br>3. I borrowed a book from the library.	topic::hobbies_in_depth topic::music topic::art topic::reading
laulu	song, singing	1. Tämä laulu on minun suosikkini.<br>2. Opin uuden laulun tänään.<br>3. Laulu kuulosti kauniilta.	1. This song is my favorite.<br>2. I learned a new song today.<br>3. The song sounded beautiful.	topic::hobbies_in_depth topic::music topic::art topic::reading
laulaa	to sing	1. Laulan suihkussa joka aamu.<br>2. He lauloivat yhdessä konsertissa.<br>3. Hän laulaa todella hyvin.	1. I sing in the shower every morning.<br>2. They sang together at a concert.<br>3. She sings really well.	topic::hobbies_in_depth topic::music topic::art topic::reading
taide	art	1. Taide on tärkeä osa elämääni.<br>2. Kävin taide-näyttelyssä eilen.<br>3. Hän opiskelee taidetta koulussa.	1. Art is an important part of my life.<br>2. I visited an art exhibition yesterday.<br>3. She studies art at school.	topic::hobbies_in_depth topic::music topic::art topic::reading
harrastus	hobby	1. Mikä on sinun harrastuksesi?<br>2. Minulla on monta harrastusta.<br>3. Lukeminen on mukava harrastus.	1. What is your hobby?<br>2. I have many hobbies.<br>3. Reading is a nice hobby.	topic::hobbies_in_depth topic::music topic::art topic::reading
kuunnella	to listen	1. Kuuntelen musiikkia bussissa.<br>2. Hän kuunteli radiota eilen.<br>3. Pidän klassisen musiikin kuuntelemisesta.	1. I listen to music on the bus.<br>2. He listened to the radio yesterday.<br>3. I like listening to classical music.	topic::hobbies_in_depth topic::music topic::art topic::reading
konsertти	concert	1. Menin konserttiin viikonloppuna.<br>2. Konsertti oli upea.<br>3. Ostan konserttilipun huomenna.	1. I went to a concert on the weekend.<br>2. The concert was amazing.<br>3. I will buy a concert ticket tomorrow.	topic::hobbies_in_depth topic::music topic::art topic::reading
