#separator:tab
#html:true
juhla	celebration, party	1. Juhla alkaa kello kuusi.<br>2. Pidimme suuren juhlan.<br>3. Juhla oli hauska.	1. The party starts at six o'clock.<br>2. We had a big celebration.<br>3. The party was fun.	topic::holidays topic::festivals topic::celebrations
juhlia	to celebrate	1. Juhlimme syntymäpäivää yhdessä.<br>2. He juhlivat koko yön.<br>3. Haluatko juhlia kanssani?	1. We celebrated the birthday together.<br>2. They celebrated all night.<br>3. Do you want to celebrate with me?	topic::holidays topic::festivals topic::celebrations
syntymäpäivä	birthday	1. Tänään on minun syntymäpäiväni.<br>2. Hän sai lahjan syntymäpäivänään.<br>3. Syntymäpäivä on huomenna.	1. Today is my birthday.<br>2. She got a gift on her birthday.<br>3. The birthday is tomorrow.	topic::holidays topic::festivals topic::celebrations
lahja	gift, present	1. Sain monta lahjaa joululta.<br>2. Tämä lahja on sinulle.<br>3. Hän osti lahjan ystävälleen.	1. I received many gifts for Christmas.<br>2. This gift is for you.<br>3. She bought a gift for her friend.	topic::holidays topic::festivals topic::celebrations
joulu	Christmas	1. Joulu on talvella.<br>2. Perheeni kokoontuu jouluna.<br>3. Rakastan joulua.	1. Christmas is in winter.<br>2. My family gathers at Christmas.<br>3. I love Christmas.	topic::holidays topic::festivals topic::celebrations
uusivuosi	New Year	1. Uusivuosi on tammikuun ensimmäinen päivä.<br>2. Me juhlimme uuttavuotta.<br>3. Uutenavuotena on ilotulitus.	1. New Year is the first day of January.<br>2. We celebrated New Year.<br>3. There are fireworks on New Year.	topic::holidays topic::festivals topic::celebrations
pääsiäinen	Easter	1. Pääsiäinen on keväällä.<br>2. Lapset etsivät munia pääsiäisenä.<br>3. Söimme suklaata pääsiäisenä.	1. Easter is in spring.<br>2. Children look for eggs at Easter.<br>3. We ate chocolate at Easter.	topic::holidays topic::festivals topic::celebrations
ilotulitus	fireworks	1. Ilotulitus oli kaunis.<br>2. Katsoimme ilotulitusta yhdessä.<br>3. Ilotulitus alkaa puolenyön jälkeen.	1. The fireworks were beautiful.<br>2. We watched the fireworks together.<br>3. The fireworks start after midnight.	topic::holidays topic::festivals topic::celebrations
kakku	cake	1. Äiti teki suuren kakun.<br>2. Kakku on suklainen.<br>3. Söimme kakkua syntymäpäivällä.	1. Mom made a big cake.<br>2. The cake is chocolatey.<br>3. We ate cake at the birthday party.	topic::holidays topic::festivals topic::celebrations
kynttilä	candle	1. Kakussa on kymmenen kynttilää.<br>2. Puhallimme kynttilät.<br>3. Kynttilät valaisevat pöydän.	1. There are ten candles on the cake.<br>2. We blew out the candles.<br>3. The candles light up the table.	topic::holidays topic::festivals topic::celebrations
kutsu	invitation	1. Sain kutsun juhlaan.<br>2. Hän lähetti kutsut kaikille.<br>3. Kutsu tuli postissa.	1. I received an invitation to the party.<br>2. She sent invitations to everyone.<br>3. The invitation came in the mail.	topic::holidays topic::festivals topic::celebrations
vieras	guest	1. Vieraat saapuivat ajoissa.<br>2. Meillä on paljon vieraita tänään.<br>3. Vieras toi lahjan.	1. The guests arrived on time.<br>2. We have many guests today.<br>3. The guest brought a gift.	topic::holidays topic::festivals topic::celebrations
koristella	to decorate	1. Koristelemme kodin juhlaa varten.<br>2. Lapset koristelivat kuusen.<br>3. Haluatko auttaa koristella huone?	1. We decorate the home for the party.<br>2. The children decorated the Christmas tree.<br>3. Do you want to help decorate the room?	topic::holidays topic::festivals topic::celebrations
koriste	decoration	1. Koristeet ovat värikkäät.<br>2. Ostimme uusia koristeita.<br>3. Koriste on pöydällä.	1. The decorations are colorful.<br>2. We bought new decorations.<br>3. The decoration is on the table.	topic::holidays topic::festivals topic::celebrations
joulukuusi	Christmas tree	1. Joulukuusi on olohuoneessa.<br>2. Koristelimme joulukuusen eilen.<br>3. Joulukuusi on kaunis.	1. The Christmas tree is in the living room.<br>2. We decorated the Christmas tree yesterday.<br>3. The Christmas tree is beautiful.	topic::holidays topic::festivals topic::celebrations
laulaa	to sing	1. Laulamme joululauluja yhdessä.<br>2. Lapset lauloivat syntymäpäivälaulun.<br>3. Hän laulaa hyvin.	1. We sing Christmas songs together.<br>2. The children sang the birthday song.<br>3. She sings well.	topic::holidays topic::festivals topic::celebrations
laulu	song	1. Tämä laulu on minun suosikkini.<br>2. Lauloimme vanhan laulun.<br>3. Laulu on iloinen.	1. This song is my favorite.<br>2. We sang an old song.<br>3. The song is cheerful.	topic::holidays topic::festivals topic::celebrations
tanssia	to dance	1. He tanssivat koko illan.<br>2. Haluatko tanssia kanssani?<br>3. Lapset tanssivat musiikin tahdissa.	1. They danced all evening.<br>2. Do you want to dance with me?<br>3. The children danced to the music.	topic::holidays topic::festivals topic::celebrations
musiikki	music	1. Musiikki soi kovaa juhlassa.<br>2. Pidän tästä musiikista.<br>3. Musiikki tekee juhlasta hauskempaa.	1. Music was playing loudly at the party.<br>2. I like this music.<br>3. Music makes the party more fun.	topic::holidays topic::festivals topic::celebrations
onnitella	to congratulate	1. Onnittelin häntä syntymäpäivänä.<br>2. He onnittelivat meitä häistä.<br>3. Muista onnitella ystävääsi.	1. I congratulated him on his birthday.<br>2. They congratulated us on the wedding.<br>3. Remember to congratulate your friend.	topic::holidays topic::festivals topic::celebrations
onnittelu	congratulations	1. Lähetin onnittelun kortilla.<br>2. Paljon onnitteluja!<br>3. Hän hyväksyi onnittelut hymyillen.	1. I sent congratulations on a card.<br>2. Many congratulations!<br>3. She accepted the congratulations with a smile.	topic::holidays topic::festivals topic::celebrations
juhlapäivä	holiday, feast day	1. Tänään on juhlapäivä.<br>2. Juhlapäivänä kaupat ovat kiinni.<br>3. Pidämme juhlapäivää yhdessä.	1. Today is a holiday.<br>2. Shops are closed on holidays.<br>3. We celebrate the holiday together.	topic::holidays topic::festivals topic::celebrations
perhejuhla	family celebration	1. Perhejuhla on lauantaina.<br>2. Kaikki tulivat perhejuhlaan.<br>3. Perhejuhla oli mukava.	1. The family celebration is on Saturday.<br>2. Everyone came to the family celebration.<br>3. The family celebration was nice.	topic::holidays topic::festivals topic::celebrations
häät	wedding	1. Häät olivat kesällä.<br>2. Menimme häihin lauantaina.<br>3. Häät olivat kauniit.	1. The wedding was in summer.<br>2. We went to the wedding on Saturday.<br>3. The wedding was beautiful.	topic::holidays topic::festivals topic::celebrations
vappu	May Day	1. Vappu on toukokuun ensimmäinen päivä.<br>2. Juhlimme vappua ulkona.<br>3. Vappuna syödään tippaleipää.	1. May Day is the first day of May.<br>2. We celebrated May Day outside.<br>3. On May Day, funnel cake is eaten.	topic::holidays topic::festivals topic::celebrations
perinne	tradition	1. Tämä on vanha perinne.<br>2. Perheelläni on monia perinteitä.<br>3. Pidämme tästä perinteestä kiinni.	1. This is an old tradition.<br>2. My family has many traditions.<br>3. We hold on to this tradition.	topic::holidays topic::festivals topic::celebrations
toivottaa	to wish	1. Toivotan sinulle hyvää joulua.<br>2. Hän toivotti onnea kaikille.<br>3. Toivotan teille kaikkea hyvää.	1. I wish you a merry Christmas.<br>2. She wished everyone good luck.<br>3. I wish you all the best.	topic::holidays topic::festivals topic::celebrations
iloinen	happy, joyful	1. Hän oli iloinen juhlassa.<br>2. Iloiset lapset lauloivat.<br>3. Juhla teki minut iloiseksi.	1. She was happy at the party.<br>2. The joyful children sang.<br>3. The party made me happy.	topic::holidays topic::festivals topic::celebrations
hauska	fun, funny	1. Juhla oli todella hauska.<br>2. Meillä oli hauskaa yhdessä.<br>3. Tämä on hauska peli.	1. The party was really fun.<br>2. We had fun together.<br>3. This is a fun game.	topic::holidays topic::festivals topic::celebrations
yhdessä	together	1. Juhlimme syntymäpäivää yhdessä.<br>2. Perhe on yhdessä jouluna.<br>3. Teemme sen yhdessä.	1. We celebrated the birthday together.<br>2. The family is together at Christmas.<br>3. We will do it together.	topic::holidays topic::festivals topic::celebrations
