#separator:tab
#html:true
paita	shirt, blouse	1. Minulla on sininen paita.<br>2. Tämä paita on liian pieni.<br>3. Ostin uuden paidan kaupasta.	1. I have a blue shirt.<br>2. This shirt is too small.<br>3. I bought a new shirt from the store.	topic::clothing_details topic::fabrics topic::sizes topic::styles
housut	trousers, pants	1. Nämä housut ovat mustat.<br>2. Housut ovat liian löysät.<br>3. Hän puki housut jalkaansa.	1. These trousers are black.<br>2. The trousers are too loose.<br>3. He put on his trousers.	topic::clothing_details topic::fabrics topic::sizes topic::styles
mekko	dress	1. Hänellä on kaunis mekko.<br>2. Ostin punaisen mekon.<br>3. Tämä mekko on sopivan kokoinen.	1. She has a beautiful dress.<br>2. I bought a red dress.<br>3. This dress is the right size.	topic::clothing_details topic::fabrics topic::sizes topic::styles
takki	coat, jacket	1. Pue takki päälle, on kylmä.<br>2. Minun takkini on harmaa.<br>3. Takki on tehty villasta.	1. Put on your coat, it is cold.<br>2. My coat is grey.<br>3. The coat is made of wool.	topic::clothing_details topic::fabrics topic::sizes topic::styles
koko	size	1. Mikä koko sinulla on?<br>2. Tämä koko on liian suuri.<br>3. Onko teillä pienempää kokoa?	1. What size are you?<br>2. This size is too large.<br>3. Do you have a smaller size?	topic::clothing_details topic::fabrics topic::sizes topic::styles
kangas	fabric, cloth	1. Tämä kangas on pehmeää.<br>2. Mekko on tehty ohuesta kankaasta.<br>3. Ostin kaunista kangasta markkinoilta.	1. This fabric is soft.<br>2. The dress is made of thin fabric.<br>3. I bought beautiful fabric at the market.	topic::clothing_details topic::fabrics topic::sizes topic::styles
puuvilla	cotton	1. Paita on tehty puuvillasta.<br>2. Puuvilla on mukava materiaali.<br>3. Pidän puuvillaisia vaatteista.	1. The shirt is made of cotton.<br>2. Cotton is a comfortable material.<br>3. I like cotton clothes.	topic::clothing_details topic::fabrics topic::sizes topic::styles
villa	wool	1. Villapaita pitää lämpimänä.<br>2. Tämä huivi on villaa.<br>3. Villa voi kutittaa ihoa.	1. A wool sweater keeps you warm.<br>2. This scarf is wool.<br>3. Wool can itch the skin.	topic::clothing_details topic::fabrics topic::sizes topic::styles
sopiva	suitable, fitting	1. Tämä paita on sopiva.<br>2. Onko tämä koko sinulle sopiva?<br>3. Hän etsi sopivaa mekkoa.	1. This shirt fits well.<br>2. Is this size suitable for you?<br>3. She was looking for a suitable dress.	topic::clothing_details topic::fabrics topic::sizes topic::styles
tiukka	tight	1. Nämä housut ovat liian tiukat.<br>2. Hän pitää tiukoista vaatteista.<br>3. Tiukka paita ei ole mukava.	1. These trousers are too tight.<br>2. She likes tight clothes.<br>3. A tight shirt is not comfortable.	topic::clothing_details topic::fabrics topic::sizes topic::styles
väljä	loose, baggy	1. Tämä takki on liian väljä.<br>2. Hän pitää väljistä vaatteista.<br>3. Väljä paita on mukava.	1. This coat is too loose.<br>2. He likes loose clothes.<br>3. A loose shirt is comfortable.	topic::clothing_details topic::fabrics topic::sizes topic::styles
pukea	to dress, to put on	1. Puen takin aamulla.<br>2. Lapsi ei osaa vielä pukea itse.<br>3. Hän pukee aina siististi.	1. I put on my coat in the morning.<br>2. The child cannot dress alone yet.<br>3. She always dresses neatly.	topic::clothing_details topic::fabrics topic::sizes topic::styles
sovittaa	to try on	1. Haluatko sovittaa tätä mekkoa?<br>2. Sovitin housuja sovituskopissa.<br>3. Hän sovitti monta takkia.	1. Do you want to try on this dress?<br>2. I tried on trousers in the fitting room.<br>3. She tried on many coats.	topic::clothing_details topic::fabrics topic::sizes topic::styles
istua	to fit (clothing)	1. Tämä paita istuu hyvin.<br>2. Takki ei istu minulle.<br>3. Mekko istuu sinulle täydellisesti.	1. This shirt fits well.<br>2. The coat does not fit me.<br>3. The dress fits you perfectly.	topic::clothing_details topic::fabrics topic::sizes topic::styles
