#separator:tab
#html:true
maa	country, land	1. Suomi on kaunis maa.<br>2. Missä maassa sinä asut?<br>3. Tämä maa on suuri.	1. Finland is a beautiful country.<br>2. In which country do you live?<br>3. This country is large.	topic::geography topic::countries topic::capitals
pääkaupunki	capital city	1. Helsinkion Suomen pääkaupunki.<br>2. Mikä on Ranskan pääkaupunki?<br>3. Pääkaupungissa on paljon ihmisiä.	1. Helsinki is the capital of Finland.<br>2. What is the capital of France?<br>3. There are many people in the capital city.	topic::geography topic::countries topic::capitals
kaupunki	city, town	1. Helsinki on iso kaupunki.<br>2. Missä kaupungissa sinä asut?<br>3. Tämä kaupunki on vanha.	1. Helsinki is a big city.<br>2. In which city do you live?<br>3. This city is old.	topic::geography topic::countries topic::capitals
manner	continent	1. Eurooppa on manner.<br>2. Afrikka on suuri manner.<br>3. Millä mantereella Brasilia on?	1. Europe is a continent.<br>2. Africa is a large continent.<br>3. On which continent is Brazil?	topic::geography topic::countries topic::capitals
kartta	map	1. Katsoin karttaa.<br>2. Onko sinulla kartta?<br>3. Löysin kaupungin kartalta.	1. I looked at the map.<br>2. Do you have a map?<br>3. I found the city on the map.	topic::geography topic::countries topic::capitals
raja	border, boundary	1. Suomen ja Ruotsin välillä on raja.<br>2. Ylitimme rajan junalla.<br>3. Raja on lähellä.	1. There is a border between Finland and Sweden.<br>2. We crossed the border by train.<br>3. The border is nearby.	topic::geography topic::countries topic::capitals
väestö	population	1. Suomen väestö on noin viisi miljoonaa.<br>2. Kiinalla on suuri väestö.<br>3. Kaupungin väestö kasvaa.	1. The population of Finland is about five million.<br>2. China has a large population.<br>3. The city's population is growing.	topic::geography topic::countries topic::capitals
kieli	language	1. Suomi on vaikea kieli.<br>2. Montako kieltä sinä osaat?<br>3. Ranskan kieli on kaunis.	1. Finnish is a difficult language.<br>2. How many languages do you know?<br>3. The French language is beautiful.	topic::geography topic::countries topic::capitals
sijaita	to be located	1. Suomi sijaitsee Pohjois-Euroopassa.<br>2. Missä kaupunki sijaitsee?<br>3. Pääkaupunki sijaitsee rannikolla.	1. Finland is located in Northern Europe.<br>2. Where is the city located?<br>3. The capital is located on the coast.	topic::geography topic::countries topic::capitals
asua	to live, to reside	1. Minä asun Suomessa.<br>2. Hän asuu pienessä kaupungissa.<br>3. Missä maassa sinä haluaisit asua?	1. I live in Finland.<br>2. He lives in a small city.<br>3. In which country would you like to live?	topic::geography topic::countries topic::capitals
matkustaa	to travel	1. Minä matkustin Ranskaan viime vuonna.<br>2. Hän haluaa matkustaa moneen maahan.<br>3. Matkustimme junalla pääkaupunkiin.	1. I traveled to France last year.<br>2. She wants to travel to many countries.<br>3. We traveled by train to the capital.	topic::geography topic::countries topic::capitals
