#separator:tab
#html:true
perhe	family	1. Minulla on iso perhe.<br>2. Perhe asuu Helsingissä.<br>3. Rakastan perhettäni.	1. I have a big family.<br>2. The family lives in Helsinki.<br>3. I love my family.	topic::extended_family topic::in_laws topic::generations
isovanhemmat	grandparents	1. Isovanhempani asuvat maalla.<br>2. Käymme isovanhempien luona jouluna.<br>3. Isovanhemmat ovat vanhoja ja viisaita.	1. My grandparents live in the countryside.<br>2. We visit the grandparents at Christmas.<br>3. Grandparents are old and wise.	topic::extended_family topic::in_laws topic::generations
isoäiti	grandmother	1. Isoäiti leipoo pullaa.<br>2. Minun isoäitini on seitsemänkymmentä vuotta vanha.<br>3. Isoäiti kertoo tarinoita.	1. Grandma bakes buns.<br>2. My grandmother is seventy years old.<br>3. Grandma tells stories.	topic::extended_family topic::in_laws topic::generations
isoisä	grandfather	1. Isoisä kalastaa järvellä.<br>2. Minun isoisäni oli opettaja.<br>3. Isoisä istuu tuolissa.	1. Grandpa fishes at the lake.<br>2. My grandfather was a teacher.<br>3. Grandpa sits in a chair.	topic::extended_family topic::in_laws topic::generations
lapsenlapsi	grandchild	1. Isoäidillä on kolme lapsenlasta.<br>2. Lapsenlapsi vierailee usein.<br>3. Olen isoäitini lapsenlapsi.	1. Grandma has three grandchildren.<br>2. The grandchild visits often.<br>3. I am my grandmother's grandchild.	topic::extended_family topic::in_laws topic::generations
täti	aunt	1. Täti asuu Turussa.<br>2. Täti toi minulle lahjan.<br>3. Pidän tädistäni paljon.	1. My aunt lives in Turku.<br>2. My aunt brought me a gift.<br>3. I like my aunt a lot.	topic::extended_family topic::in_laws topic::generations
setä	uncle (father's brother)	1. Setä on isäni veli.<br>2. Setä ajaa autolla töihin.<br>3. Sedällä on kaksi lasta.	1. Uncle is my father's brother.<br>2. Uncle drives to work.<br>3. Uncle has two children.	topic::extended_family topic::in_laws topic::generations
eno	uncle (mother's brother)	1. Eno on äitini veli.<br>2. Eno soittaa kitaraa.<br>3. Enolla on pitkä parta.	1. Uncle is my mother's brother.<br>2. Uncle plays guitar.<br>3. Uncle has a long beard.	topic::extended_family topic::in_laws topic::generations
serkku	cousin	1. Serkkuni asuu Tampereella.<br>2. Meillä on viisi serkkua.<br>3. Leikimme serkkujen kanssa.	1. My cousin lives in Tampere.<br>2. We have five cousins.<br>3. We play with our cousins.	topic::extended_family topic::in_laws topic::generations
anoppi	mother-in-law	1. Anoppi tulee meille vierailulle.<br>2. Anoppi laittaa hyvää ruokaa.<br>3. Anoppi asuu lähellä meitä.	1. My mother-in-law is coming to visit us.<br>2. My mother-in-law cooks good food.<br>3. My mother-in-law lives near us.	topic::extended_family topic::in_laws topic::generations
appi	father-in-law	1. Appi on eläkkeellä.<br>2. Appi auttaa meitä usein.<br>3. Appi ja minä katsomme jalkapalloa.	1. My father-in-law is retired.<br>2. My father-in-law helps us often.<br>3. My father-in-law and I watch football.	topic::extended_family topic::in_laws topic::generations
vävy	son-in-law	1. Vävy on lääkäri.<br>2. Tyttäreni mies on meidän vävy.<br>3. Vävy tulee ruoalle sunnuntaina.	1. The son-in-law is a doctor.<br>2. My daughter's husband is our son-in-law.<br>3. The son-in-law comes for dinner on Sunday.	topic::extended_family topic::in_laws topic::generations
miniä	daughter-in-law	1. Miniä on poikani vaimo.<br>2. Miniä työskentelee koulussa.<br>3. Miniä on hyvin kiltti.	1. The daughter-in-law is my son's wife.<br>2. My daughter-in-law works at school.<br>3. My daughter-in-law is very kind.	topic::extended_family topic::in_laws topic::generations
lanko	brother-in-law	1. Lanko on sisareni mies.<br>2. Lanko pelaa jalkapalloa.<br>3. Minulla on kaksi lankoa.	1. My brother-in-law is my sister's husband.<br>2. My brother-in-law plays football.<br>3. I have two brothers-in-law.	topic::extended_family topic::in_laws topic::generations
käly	sister-in-law	1. Käly on veljeni vaimo.<br>2. Käly soittaa minulle usein.<br>3. Käly ja minä käymme yhdessä kaupassa.	1. My sister-in-law is my brother's wife.<br>2. My sister-in-law calls me often.<br>3. My sister-in-law and I go shopping together.	topic::extended_family topic::in_laws topic::generations
sukulainen	relative, relation	1. Meillä on paljon sukulaisia.<br>2. Sukulaiset kokoontuvat jouluksi.<br>3. Hän on kaukainen sukulainen.	1. We have many relatives.<br>2. Relatives gather for Christmas.<br>3. She is a distant relative.	topic::extended_family topic::in_laws topic::generations
sukupolvi	generation	1. Meillä on kolme sukupolvea samassa talossa.<br>2. Jokainen sukupolvi on erilainen.<br>3. Vanhempi sukupolvi on viisas.	1. We have three generations in the same house.<br>2. Every generation is different.<br>3. The older generation is wise.	topic::extended_family topic::in_laws topic::generations
suku	family, clan, kin	1. Meidän suku on suuri.<br>2. Suku kokoontuu kesällä.<br>3. Tunnen koko suvun.	1. Our family clan is large.<br>2. The family gathers in summer.<br>3. I know the whole family.	topic::extended_family topic::in_laws topic::generations
puoliso	spouse, partner	1. Minulla on puoliso.<br>2. Puolisoni työskentelee sairaalassa.<br>3. Puoliso ja minä matkustamme yhdessä.	1. I have a spouse.<br>2. My spouse works at the hospital.<br>3. My spouse and I travel together.	topic::extended_family topic::in_laws topic::generations
vanhemmat	parents	1. Vanhempani asuvat kaukana.<br>2. Vanhemmat tukevat minua.<br>3. Käyn vanhempien luona viikonloppuna.	1. My parents live far away.<br>2. My parents support me.<br>3. I visit my parents on the weekend.	topic::extended_family topic::in_laws topic::generations
vanhempi	older, elder	1. Veljeni on vanhempi kuin minä.<br>2. Vanhempi sukupolvi muistaa sodan.<br>3. Hän on perheessä vanhin.	1. My brother is older than me.<br>2. The older generation remembers the war.<br>3. She is the oldest in the family.	topic::extended_family topic::in_laws topic::generations
