#separator:tab
#html:true
matkailu	tourism, travel	1. Matkailu on hauskaa.<br>2. Matkailu Suomessa on suosittua.<br>3. Pidän matkailusta paljon.	1. Tourism is fun.<br>2. Tourism in Finland is popular.<br>3. I like tourism a lot.	topic::tourism topic::sightseeing topic::attractions
nähtävyys	attraction, sight	1. Kaupungissa on paljon nähtävyyksiä.<br>2. Mikä on paras nähtävyys täällä?<br>3. Kävimme kaikki nähtävyydet läpi.	1. There are many attractions in the city.<br>2. What is the best attraction here?<br>3. We visited all the sights.	topic::tourism topic::sightseeing topic::attractions
museo	museum	1. Museo on auki tänään.<br>2. Kävin museossa eilen.<br>3. Museo on lähellä toria.	1. The museum is open today.<br>2. I visited the museum yesterday.<br>3. The museum is near the market square.	topic::tourism topic::sightseeing topic::attractions
kirkko	church	1. Kirkko on vanha ja kaunis.<br>2. Menimme kirkkoon aamulla.<br>3. Kirkko sijaitsee keskustassa.	1. The church is old and beautiful.<br>2. We went to the church in the morning.<br>3. The church is located in the city center.	topic::tourism topic::sightseeing topic::attractions
linna	castle	1. Linna on iso ja vanha.<br>2. Halusin nähdä linnan.<br>3. Linna on suosittu turistikohde.	1. The castle is big and old.<br>2. I wanted to see the castle.<br>3. The castle is a popular tourist destination.	topic::tourism topic::sightseeing topic::attractions
hotelli	hotel	1. Hotelli on lähellä rantaa.<br>2. Varasimme hotellin etukäteen.<br>3. Hotelli on mukava ja siisti.	1. The hotel is near the beach.<br>2. We booked the hotel in advance.<br>3. The hotel is comfortable and clean.	topic::tourism topic::sightseeing topic::attractions
kartta	map	1. Tarvitsen kartan kaupungista.<br>2. Katson karttaa puhelimestani.<br>3. Kartta auttoi meitä löytämään tien.	1. I need a map of the city.<br>2. I look at the map on my phone.<br>3. The map helped us find the way.	topic::tourism topic::sightseeing topic::attractions
opas	guide, guidebook	1. Opas kertoi meille historiasta.<br>2. Ostin oppaan kaupasta.<br>3. Opas puhuu monta kieltä.	1. The guide told us about history.<br>2. I bought a guidebook from the shop.<br>3. The guide speaks many languages.	topic::tourism topic::sightseeing topic::attractions
turisti	tourist	1. Olen turisti tässä kaupungissa.<br>2. Monet turistit vierailevat täällä.<br>3. Turisti otti kuvan linnasta.	1. I am a tourist in this city.<br>2. Many tourists visit here.<br>3. The tourist took a photo of the castle.	topic::tourism topic::sightseeing topic::attractions
matka	trip, journey	1. Matka kesti kaksi päivää.<br>2. Tein matkan yksin.<br>3. Matka oli upea kokemus.	1. The trip lasted two days.<br>2. I took the trip alone.<br>3. The trip was a wonderful experience.	topic::tourism topic::sightseeing topic::attractions
lippu	ticket	1. Ostin lipun museoon.<br>2. Lippu maksaa kymmenen euroa.<br>3. Minulla on kaksi lippua.	1. I bought a ticket to the museum.<br>2. The ticket costs ten euros.<br>3. I have two tickets.	topic::tourism topic::sightseeing topic::attractions
puisto	park	1. Puisto on kaupungin keskellä.<br>2. Istuimme puistossa ja söimme.<br>3. Puisto on erittäin kaunis keväällä.	1. The park is in the middle of the city.<br>2. We sat in the park and ate.<br>3. The park is very beautiful in spring.	topic::tourism topic::sightseeing topic::attractions
ranta	beach, shore	1. Ranta on lähellä hotellia.<br>2. Kävimme rannalla joka päivä.<br>3. Ranta on puhdas ja rauhallinen.	1. The beach is near the hotel.<br>2. We went to the beach every day.<br>3. The beach is clean and peaceful.	topic::tourism topic::sightseeing topic::attractions
kohde	destination	1. Mikä on matkasi kohde?<br>2. Tämä kohde on erittäin suosittu.<br>3. Valitsimme kohteeksi Helsingin.	1. What is your travel destination?<br>2. This destination is very popular.<br>3. We chose Helsinki as our destination.	topic::tourism topic::sightseeing topic::attractions
vierailla	to visit	1. Halusin vierailla museossa.<br>2. Vierailimme linnassa eilen.<br>3. Hän vierailee Suomessa kesällä.	1. I wanted to visit the museum.<br>2. We visited the castle yesterday.<br>3. She visits Finland in summer.	topic::tourism topic::sightseeing topic::attractions
matkustaa	to travel	1. Matkustan paljon työn takia.<br>2. Haluamme matkustaa Eurooppaan.<br>3. Hän matkusti junalla etelään.	1. I travel a lot because of work.<br>2. We want to travel to Europe.<br>3. He travelled south by train.	topic::tourism topic::sightseeing topic::attractions
valokuvata	to photograph	1. Halusin valokuvata linnan.<br>2. Valokuvasin kirkon sisällä.<br>3. Hän valokuvasi maisemaa.	1. I wanted to photograph the castle.<br>2. I photographed inside the church.<br>3. She photographed the landscape.	topic::tourism topic::sightseeing topic::attractions
varata	to book, reserve	1. Varasin hotellin netistä.<br>2. Pitää varata liput etukäteen.<br>3. He varasivat huoneen viikoksi.	1. I booked the hotel online.<br>2. You need to book tickets in advance.<br>3. They reserved the room for a week.	topic::tourism topic::sightseeing topic::attractions
nähdä	to see	1. Halusin nähdä kaupungin.<br>2. Näimme paljon kauniita paikkoja.<br>3. Et näe kaikkea yhden päivän aikana.	1. I wanted to see the city.<br>2. We saw many beautiful places.<br>3. You cannot see everything in one day.	topic::tourism topic::sightseeing topic::attractions
löytää	to find	1. Löysin hyvän ravintolan kartalta.<br>2. Emme löytäneet hotellia helposti.<br>3. Hän löysi halvat liput netistä.	1. I found a good restaurant on the map.<br>2. We did not find the hotel easily.<br>3. She found cheap tickets online.	topic::tourism topic::sightseeing topic::attractions
kaunis	beautiful	1. Kaupunki on todella kaunis.<br>2. Kaunis maisema yllätti minut.<br>3. Kirkko on kaunis rakennukseltaan.	1. The city is really beautiful.<br>2. The beautiful landscape surprised me.<br>3. The church is beautiful in its architecture.	topic::tourism topic::sightseeing topic::attractions
suosittu	popular	1. Museo on hyvin suosittu.<br>2. Tämä on suosittu matkailukohde.<br>3. Ravintola on suosittu turistien keskuudessa.	1. The museum is very popular.<br>2. This is a popular tourist destination.<br>3. The restaurant is popular among tourists.	topic::tourism topic::sightseeing topic::attractions
ilmainen	free (of charge)	1. Sisäänpääsy on ilmainen lapsille.<br>2. Puistoon pääsy on ilmainen.<br>3. Saanko ilmaisen kartan?	1. Entry is free for children.<br>2. Access to the park is free.<br>3. Can I get a free map?	topic::tourism topic::sightseeing topic::attractions
auki	open	1. Museo on auki klo 10–18.<br>2. Onko kauppa auki sunnuntaina?<br>3. Kirkko ei ole auki tänään.	1. The museum is open from 10 to 18.<br>2. Is the shop open on Sunday?<br>3. The church is not open today.	topic::tourism topic::sightseeing topic::attractions
lähellä	near, close	1. Museo on lähellä toria.<br>2. Hotelli on lähellä asemaa.<br>3. Onko ranta lähellä?	1. The museum is near the market square.<br>2. The hotel is close to the station.<br>3. Is the beach nearby?	topic::tourism topic::sightseeing topic::attractions
asema	station	1. Juna-asema on kaupungin keskustassa.<br>2. Tapasimme asemalla aamulla.<br>3. Bussit lähtevät asemalta.	1. The train station is in the city center.<br>2. We met at the station in the morning.<br>3. Buses leave from the station.	topic::tourism topic::sightseeing topic::attractions
ravintola	restaurant	1. Ravintola on lähellä museota.<br>2. Söimme paikallisessa ravintolassa.<br>3. Ravintola sulkee klo 22.	1. The restaurant is near the museum.<br>2. We ate at a local restaurant.<br>3. The restaurant closes at 10 pm.	topic::tourism topic::sightseeing topic::attractions
maisema	landscape, scenery	1. Maisema on upea vuorelta.<br>2. Valokuvasin kauniita maisemia.<br>3. Maisema muuttuu syksyllä.	1. The scenery is stunning from the mountain.<br>2. I photographed beautiful landscapes.<br>3. The scenery changes in autumn.	topic::tourism topic::sightseeing topic::attractions
muisto	memory, souvenir	1. Ostin muiston matkalta.<br>2. Minulla on paljon hyviä muistoja.<br>3. Valokuva on paras muisto.	1. I bought a souvenir from the trip.<br>2. I have many good memories.<br>3. A photo is the best souvenir.	topic::tourism topic::sightseeing topic::attractions
kierros	tour, round	1. Teimme kierroksen kaupungissa.<br>2. Kierros kesti kaksi tuntia.<br>3. Opas johti kierroksen museossa.	1. We did a tour of the city.<br>2. The tour lasted two hours.<br>3. The guide led the tour in the museum.	topic::tourism topic::sightseeing topic::attractions
