#separator:tab
#html:true
koulu	school	1. Koulu alkaa kello kahdeksan.<br>2. Minun koulu on lähellä kotia.<br>3. Koulu loppuu kesäkuussa.	1. School starts at eight o'clock.<br>2. My school is close to home.<br>3. School ends in June.	topic::education topic::university topic::degrees topic::subjects
yliopisto	university	1. Hän opiskelee yliopistossa.<br>2. Yliopisto on iso rakennus.<br>3. Menen yliopistoon ensi vuonna.	1. He studies at university.<br>2. The university is a big building.<br>3. I am going to university next year.	topic::education topic::university topic::degrees topic::subjects
opiskelija	student	1. Hän on yliopiston opiskelija.<br>2. Opiskelijat lukevat paljon kirjoja.<br>3. Olen opiskelija toisella vuosikurssilla.	1. She is a university student.<br>2. Students read many books.<br>3. I am a student in the second year.	topic::education topic::university topic::degrees topic::subjects
opettaja	teacher	1. Opettaja selittää uuden asian.<br>2. Minun opettajani on mukava.<br>3. Opettaja antaa läksyjä joka viikko.	1. The teacher explains a new topic.<br>2. My teacher is nice.<br>3. The teacher gives homework every week.	topic::education topic::university topic::degrees topic::subjects
opiskella	to study	1. Opiskelen suomea yliopistossa.<br>2. Hän opiskelee matematiikkaa.<br>3. Opiskelin eilen koko illan.	1. I study Finnish at university.<br>2. She studies mathematics.<br>3. I studied the whole evening yesterday.	topic::education topic::university topic::degrees topic::subjects
lukea	to read, to study	1. Luen kirjaa tenttiin.<br>2. Hän lukee historiaa yliopistossa.<br>3. Luimme paljon viime viikolla.	1. I am reading a book for the exam.<br>2. He studies history at university.<br>3. We read a lot last week.	topic::education topic::university topic::degrees topic::subjects
tutkinto	degree	1. Hän sai tutkinnon viime vuonna.<br>2. Opiskelen kandidaatin tutkintoa.<br>3. Tutkinto kestää kolme vuotta.	1. She got her degree last year.<br>2. I am studying for a bachelor's degree.<br>3. The degree takes three years.	topic::education topic::university topic::degrees topic::subjects
kurssi	course	1. Tämä kurssi on vaikea.<br>2. Otan kolme kurssia tänä lukukautena.<br>3. Kurssi alkaa maanantaina.	1. This course is difficult.<br>2. I am taking three courses this semester.<br>3. The course starts on Monday.	topic::education topic::university topic::degrees topic::subjects
tentti	exam, test	1. Minulla on tentti huomenna.<br>2. Tentti oli helppo.<br>3. Luen tenttiin tänä viikonloppuna.	1. I have an exam tomorrow.<br>2. The exam was easy.<br>3. I am studying for the exam this weekend.	topic::education topic::university topic::degrees topic::subjects
luokka	classroom, class	1. Luokassa on kaksikymmentä opiskelijaa.<br>2. Luokka on toisessa kerroksessa.<br>3. Menin luokkaan aikaisin.	1. There are twenty students in the classroom.<br>2. The classroom is on the second floor.<br>3. I went to the classroom early.	topic::education topic::university topic::degrees topic::subjects
kirja	book	1. Tarvitsen uuden kirjan kurssille.<br>2. Kirja on kallis.<br>3. Lainasin kirjan kirjastosta.	1. I need a new book for the course.<br>2. The book is expensive.<br>3. I borrowed the book from the library.	topic::education topic::university topic::degrees topic::subjects
kirjasto	library	1. Opiskelen usein kirjastossa.<br>2. Kirjasto on avoinna joka päivä.<br>3. Palautan kirjan kirjastoon huomenna.	1. I often study in the library.<br>2. The library is open every day.<br>3. I will return the book to the library tomorrow.	topic::education topic::university topic::degrees topic::subjects
matematiikka	mathematics	1. Matematiikka on minulle vaikea aine.<br>2. Hän on hyvä matematiikassa.<br>3. Opiskelen matematiikkaa joka päivä.	1. Mathematics is a difficult subject for me.<br>2. He is good at mathematics.<br>3. I study mathematics every day.	topic::education topic::university topic::degrees topic::subjects
historia	history	1. Historia on mielenkiintoinen aine.<br>2. Luimme historiaa tunnilla.<br>3. Hän opiskelee Suomen historiaa.	1. History is an interesting subject.<br>2. We read about history in class.<br>3. She studies Finnish history.	topic::education topic::university topic::degrees topic::subjects
kieli	language	1. Opiskelen kahta kieltä.<br>2. Suomi on vaikea kieli.<br>3. Mikä on sinun äidinkielesi?	1. I study two languages.<br>2. Finnish is a difficult language.<br>3. What is your native language?	topic::education topic::university topic::degrees topic::subjects
