#separator:tab
#html:true
juhlat	party, celebration	1. Juhlat alkavat kello seitsemän.<br>2. Minä pidän juhlat kotona.<br>3. Juhlat olivat hauskoja.	1. The party starts at seven o'clock.<br>2. I am having a party at home.<br>3. The party was fun.	topic::parties topic::social_events topic::invitations
kutsu	invitation	1. Sain kutsun syntymäpäiväjuhlille.<br>2. Kutsu tuli postissa.<br>3. Kirjoitin kutsun ystävilleni.	1. I received an invitation to a birthday party.<br>2. The invitation came in the mail.<br>3. I wrote an invitation to my friends.	topic::parties topic::social_events topic::invitations
kutsua	to invite	1. Kutsun sinut juhliin.<br>2. Hän kutsui kaikki ystävänsä.<br>3. Haluatko kutsua naapurin?	1. I invite you to the party.<br>2. She invited all her friends.<br>3. Do you want to invite the neighbor?	topic::parties topic::social_events topic::invitations
syntymäpäivä	birthday	1. Tänään on minun syntymäpäiväni.<br>2. Hän järjesti syntymäpäiväjuhlat.<br>3. Hyvää syntymäpäivää!	1. Today is my birthday.<br>2. He organized a birthday party.<br>3. Happy birthday!	topic::parties topic::social_events topic::invitations
vieras	guest	1. Vieraat saapuivat ajoissa.<br>2. Meillä on tänään vieraita.<br>3. Vieras toi kukkia.	1. The guests arrived on time.<br>2. We have guests today.<br>3. The guest brought flowers.	topic::parties topic::social_events topic::invitations
juhlia	to celebrate	1. Juhlimme uutta vuotta.<br>2. Haluamme juhlia yhdessä.<br>3. He juhlivat koko yön.	1. We celebrated the new year.<br>2. We want to celebrate together.<br>3. They celebrated all night.	topic::parties topic::social_events topic::invitations
lahja	gift, present	1. Ostin lahjan ystävälleni.<br>2. Lahja oli kaunis.<br>3. Hän avasi lahjat iloisesti.	1. I bought a gift for my friend.<br>2. The gift was beautiful.<br>3. She opened the gifts happily.	topic::parties topic::social_events topic::invitations
kakku	cake	1. Kakku on pöydällä.<br>2. Äiti teki suuren kakun.<br>3. Kakku maistui hyvältä.	1. The cake is on the table.<br>2. Mom made a big cake.<br>3. The cake tasted good.	topic::parties topic::social_events topic::invitations
tulla	to come	1. Voitko tulla juhliin?<br>2. Hän tuli myöhässä.<br>3. Kaikki tulivat paikalle.	1. Can you come to the party?<br>2. He came late.<br>3. Everyone came to the place.	topic::parties topic::social_events topic::invitations
hauska	fun, funny	1. Juhlat olivat todella hauskoja.<br>2. Meillä oli hauska ilta.<br>3. Hauska tavata sinut!	1. The party was really fun.<br>2. We had a fun evening.<br>3. Nice to meet you!	topic::parties topic::social_events topic::invitations
ilta	evening	1. Juhlat ovat illalla.<br>2. Vietimme mukavan illan.<br>3. Ilta alkaa kello kahdeksan.	1. The party is in the evening.<br>2. We spent a pleasant evening.<br>3. The evening starts at eight o'clock.	topic::parties topic::social_events topic::invitations
tanssia	to dance	1. Haluatko tanssia kanssani?<br>2. He tanssivat koko illan.<br>3. Minä en osaa tanssia hyvin.	1. Do you want to dance with me?<br>2. They danced all evening.<br>3. I cannot dance well.	topic::parties topic::social_events topic::invitations
musiikki	music	1. Musiikki oli kovaa.<br>2. Laitoin musiikin päälle.<br>3. Pidän tästä musiikista.	1. The music was loud.<br>2. I turned on the music.<br>3. I like this music.	topic::parties topic::social_events topic::invitations
juoma	drink, beverage	1. Haluatko juomaa?<br>2. Pöydällä on erilaisia juomia.<br>3. Ostin juomia kaupasta.	1. Would you like a drink?<br>2. There are different drinks on the table.<br>3. I bought drinks from the store.	topic::parties topic::social_events topic::invitations
ruoka	food	1. Ruoka oli erittäin hyvää.<br>2. Valmistin ruokaa juhliin.<br>3. Onko ruokaa riittävästi?	1. The food was very good.<br>2. I prepared food for the party.<br>3. Is there enough food?	topic::parties topic::social_events topic::invitations
järjestää	to organize, arrange	1. Järjestämme juhlat viikonloppuna.<br>2. Kuka järjesti tämän tapahtuman?<br>3. Hän järjesti kaiken itse.	1. We are organizing the party on the weekend.<br>2. Who organized this event?<br>3. She organized everything herself.	topic::parties topic::social_events topic::invitations
saapua	to arrive	1. Vieraat saapuivat kello kahdeksan.<br>2. Hän saapui myöhään.<br>3. Milloin sinä saavut?	1. The guests arrived at eight o'clock.<br>2. He arrived late.<br>3. When will you arrive?	topic::parties topic::social_events topic::invitations
onnitella	to congratulate	1. Onnittelin häntä syntymäpäivänä.<br>2. Haluamme onnitella sinua!<br>3. Kaikki onnittelivat juhlien sankaria.	1. I congratulated him on his birthday.<br>2. We want to congratulate you!<br>3. Everyone congratulated the guest of honor.	topic::parties topic::social_events topic::invitations
tapahtuma	event	1. Tapahtuma alkaa pian.<br>2. Se oli mukava tapahtuma.<br>3. Tapahtumassa oli paljon ihmisiä.	1. The event starts soon.<br>2. It was a nice event.<br>3. There were many people at the event.	topic::parties topic::social_events topic::invitations
kokoontua	to gather, meet	1. Kokoonnutaan minun luokseni.<br>2. Ystävät kokoontuivat juhlahuoneeseen.<br>3. Perhe kokoontuu jouluna.	1. Let's gather at my place.<br>2. Friends gathered in the party room.<br>3. The family gathers at Christmas.	topic::parties topic::social_events topic::invitations
yhteinen	shared, common	1. Vietimme yhteistä aikaa.<br>2. Se oli yhteinen ilta.<br>3. Meillä on yhteinen ystävä.	1. We spent time together.<br>2. It was a shared evening.<br>3. We have a common friend.	topic::parties topic::social_events topic::invitations
