#separator:tab
#html:true
bussi	bus	1. Bussi tulee kello kolme.<br>2. Otin bussin töihin.<br>3. Bussi on myöhässä tänään.	1. The bus comes at three o'clock.<br>2. I took the bus to work.<br>3. The bus is late today.	topic::public_transport topic::tickets topic::schedules
juna	train	1. Juna lähtee Helsingistä.<br>2. Ostin junan lipun.<br>3. Juna saapui ajoissa.	1. The train leaves from Helsinki.<br>2. I bought a train ticket.<br>3. The train arrived on time.	topic::public_transport topic::tickets topic::schedules
lippu	ticket	1. Tarvitsen lipun bussiin.<br>2. Lippu maksaa kolme euroa.<br>3. Ostin lipun verkosta.	1. I need a ticket for the bus.<br>2. The ticket costs three euros.<br>3. I bought the ticket online.	topic::public_transport topic::tickets topic::schedules
aikataulu	schedule, timetable	1. Katson aikataulun puhelimesta.<br>2. Aikataulu muuttui tänä viikolla.<br>3. Missä on bussin aikataulu?	1. I check the timetable on my phone.<br>2. The schedule changed this week.<br>3. Where is the bus timetable?	topic::public_transport topic::tickets topic::schedules
pysäkki	stop, bus stop	1. Bussin pysäkki on tuolla.<br>2. Odota minua pysäkillä.<br>3. Pysäkki on lähellä kotia.	1. The bus stop is over there.<br>2. Wait for me at the stop.<br>3. The stop is near home.	topic::public_transport topic::tickets topic::schedules
asema	station	1. Menen juna-asemalle.<br>2. Asema on kaupungin keskustassa.<br>3. Tapasimme asemalla eilen.	1. I am going to the train station.<br>2. The station is in the city center.<br>3. We met at the station yesterday.	topic::public_transport topic::tickets topic::schedules
metro	metro, subway	1. Metro on nopea tapa matkustaa.<br>2. Otin metron kotiin.<br>3. Metro ei kulje viikonloppuna.	1. The metro is a fast way to travel.<br>2. I took the metro home.<br>3. The metro does not run on weekends.	topic::public_transport topic::tickets topic::schedules
raitiovaunu	tram	1. Raitiovaunu kulkee keskustassa.<br>2. Otin raitiavaunun museolle.<br>3. Raitiovaunu on hidas mutta mukava.	1. The tram runs in the city center.<br>2. I took the tram to the museum.<br>3. The tram is slow but comfortable.	topic::public_transport topic::tickets topic::schedules
linja	line, route	1. Mikä linja menee torille?<br>2. Linja 14 on nopein reitti.<br>3. Tämä linja ei mene asemalle.	1. Which line goes to the market square?<br>2. Line 14 is the fastest route.<br>3. This line does not go to the station.	topic::public_transport topic::tickets topic::schedules
matkustaa	to travel	1. Matkustan junalla joka päivä.<br>2. He matkustivat bussilla Tampereelle.<br>3. Haluatko matkustaa kanssani?	1. I travel by train every day.<br>2. They traveled by bus to Tampere.<br>3. Do you want to travel with me?	topic::public_transport topic::tickets topic::schedules
nousta	to get on, board	1. Nousin bussiin pysäkillä.<br>2. Nouse junaan nopeasti.<br>3. He nousivat metroon asemalla.	1. I got on the bus at the stop.<br>2. Get on the train quickly.<br>3. They boarded the metro at the station.	topic::public_transport topic::tickets topic::schedules
nousta pois	to get off	1. Nousin pois bussista keskustassa.<br>2. Missä meidän pitää nousta pois?<br>3. Hän nousi pois väärässä pysäkissä.	1. I got off the bus in the city center.<br>2. Where do we need to get off?<br>3. She got off at the wrong stop.	topic::public_transport topic::tickets topic::schedules
ostaa	to buy	1. Ostin lipun automaatista.<br>2. Voitko ostaa minulle lipun?<br>3. Hän osti kuukausikortin.	1. I bought a ticket from the machine.<br>2. Can you buy me a ticket?<br>3. He bought a monthly pass.	topic::public_transport topic::tickets topic::schedules
odottaa	to wait	1. Odotan bussia pysäkillä.<br>2. Odotimme junaa kauan.<br>3. Älä odota minua asemalla.	1. I am waiting for the bus at the stop.<br>2. We waited a long time for the train.<br>3. Don't wait for me at the station.	topic::public_transport topic::tickets topic::schedules
saapua	to arrive	1. Juna saapuu kello viisi.<br>2. Bussi saapui myöhässä.<br>3. Milloin laiva saapuu satamaan?	1. The train arrives at five o'clock.<br>2. The bus arrived late.<br>3. When does the ship arrive at the harbor?	topic::public_transport topic::tickets topic::schedules
lähteä	to depart, leave	1. Juna lähtee kello kahdeksan.<br>2. Bussi lähti jo.<br>3. Milloin seuraava juna lähtee?	1. The train leaves at eight o'clock.<br>2. The bus already left.<br>3. When does the next train leave?	topic::public_transport topic::tickets topic::schedules
vaihtaa	to change, transfer	1. Minun pitää vaihtaa bussia.<br>2. Vaihdoimme junaa Tampereella.<br>3. Missä vaihdan metroon?	1. I need to change buses.<br>2. We changed trains in Tampere.<br>3. Where do I transfer to the metro?	topic::public_transport topic::tickets topic::schedules
myöhässä	late, delayed	1. Bussi on kymmenen minuuttia myöhässä.<br>2. Tulin töihin myöhässä.<br>3. Juna oli taas myöhässä.	1. The bus is ten minutes late.<br>2. I came to work late.<br>3. The train was late again.	topic::public_transport topic::tickets topic::schedules
ajoissa	on time	1. Juna saapui ajoissa.<br>2. Tule ajoissa asemalle.<br>3. Bussi ei tullut ajoissa tänään.	1. The train arrived on time.<br>2. Come to the station on time.<br>3. The bus did not come on time today.	topic::public_transport topic::tickets topic::schedules
hinta	price	1. Mikä on lipun hinta?<br>2. Hinnat nousivat tänä vuonna.<br>3. Opiskelijan hinta on halvempi.	1. What is the price of the ticket?<br>2. Prices went up this year.<br>3. The student price is cheaper.	topic::public_transport topic::tickets topic::schedules
kuukausikortti	monthly pass	1. Kuukausikortti on halvempi kuin yksittäiset liput.<br>2. Ostin kuukausikortin bussille.<br>3. Kuukausikortti maksaa viisikymmentä euroa.	1. A monthly pass is cheaper than single tickets.<br>2. I bought a monthly bus pass.<br>3. The monthly pass costs fifty euros.	topic::public_transport topic::tickets topic::schedules
laituri	platform	1. Juna on laiturilla kolme.<br>2. Mene laiturille kaksi.<br>3. Seisoin laiturilla ja odotin.	1. The train is at platform three.<br>2. Go to platform two.<br>3. I stood on the platform and waited.	topic::public_transport topic::tickets topic::schedules
reitti	route	1. Mikä on nopein reitti kotiin?<br>2. Bussin reitti muuttui.<br>3. Katson reitin kartalta.	1. What is the fastest route home?<br>2. The bus route changed.<br>3. I check the route on the map.	topic::public_transport topic::tickets topic::schedules
lähtöaika	departure time	1. Lähtöaika on kello kymmenen.<br>2. Tarkista lähtöaika aikataulusta.<br>3. Lähtöaika muuttui tänään.	1. The departure time is ten o'clock.<br>2. Check the departure time in the timetable.<br>3. The departure time changed today.	topic::public_transport topic::tickets topic::schedules
tuloaika	arrival time	1. Tuloaika on puoli kaksi.<br>2. Mikä on junan tuloaika?<br>3. Tuloaika viivästyi tunnilla.	1. The arrival time is half past one.<br>2. What is the train's arrival time?<br>3. The arrival time was delayed by an hour.	topic::public_transport topic::tickets topic::schedules
peruuttaa	to cancel	1. Juna peruutettiin tänään.<br>2. He peruuttivat bussin vuoron.<br>3. Halusin peruuttaa lipun.	1. The train was cancelled today.<br>2. They cancelled the bus service.<br>3. I wanted to cancel the ticket.	topic::public_transport topic::tickets topic::schedules
vuoro	service, trip, turn	1. Seuraava vuoro lähtee tunnin päästä.<br>2. Tämä vuoro on jo täynnä.<br>3. Bussin viimeinen vuoro lähtee kello kymmenen.	1. The next service leaves in an hour.<br>2. This trip is already full.<br>3. The last bus service leaves at ten o'clock.	topic::public_transport topic::tickets topic::schedules
täynnä	full	1. Bussi oli täynnä aamulla.<br>2. Juna on täynnä tänään.<br>3. Löysin istumapaikan, vaikka bussi oli lähes täynnä.	1. The bus was full in the morning.<br>2. The train is full today.<br>3. I found a seat even though the bus was almost full.	topic::public_transport topic::tickets topic::schedules
istumapaikka	seat	1. Onko tässä istumapaikka vapaa?<br>2. Varasin istumapaikan junasta.<br>3. Kaikki istumapaikkaat olivat varattuja.	1. Is this seat free?<br>2. I reserved a seat on the train.<br>3. All seats were reserved.	topic::public_transport topic::tickets topic::schedules
tarkistaa	to check	1. Tarkistan aikataulun ennen lähtöä.<br>2. Tarkista lippu ennen nousemista.<br>3. Konduktööri tarkisti liput junassa.	1. I check the timetable before leaving.<br>2. Check the ticket before boarding.<br>3. The conductor checked the tickets on the train.	topic::public_transport topic::tickets topic::schedules
