#separator:tab
#html:true
työ	work, job	1. Etsin uutta työtä.<br>2. Työ alkaa maanantaina.<br>3. Pidän työstäni paljon.	1. I am looking for a new job.<br>2. The job starts on Monday.<br>3. I like my job a lot.	topic::job_interviews topic::cv topic::applications
hakemus	application	1. Lähetin hakemuksen eilen.<br>2. Hakemus on valmis.<br>3. Kirjoitin hakemuksen englanniksi.	1. I sent the application yesterday.<br>2. The application is ready.<br>3. I wrote the application in English.	topic::job_interviews topic::cv topic::applications
ansioluettelo	CV, résumé	1. Ansioluettelossani on paljon kokemusta.<br>2. Päivitin ansioluetteloni tänään.<br>3. Lähetä ansioluettelo sähköpostilla.	1. My CV has a lot of experience.<br>2. I updated my CV today.<br>3. Send the CV by email.	topic::job_interviews topic::cv topic::applications
haastattelu	interview	1. Haastattelu on huomenna.<br>2. Menin haastatteluun bussilla.<br>3. Haastattelu kesti tunnin.	1. The interview is tomorrow.<br>2. I went to the interview by bus.<br>3. The interview lasted an hour.	topic::job_interviews topic::cv topic::applications
hakea	to apply, to fetch	1. Haen töitä joka viikko.<br>2. Hän hakee uutta paikkaa.<br>3. Haetko tätä työtä?	1. I apply for jobs every week.<br>2. He is applying for a new position.<br>3. Are you applying for this job?	topic::job_interviews topic::cv topic::applications
työnantaja	employer	1. Työnantaja soitti minulle.<br>2. Työnantaja on mukava ihminen.<br>3. Työnantaja kysyi kokemuksestani.	1. The employer called me.<br>2. The employer is a nice person.<br>3. The employer asked about my experience.	topic::job_interviews topic::cv topic::applications
kokemus	experience	1. Minulla on kolme vuotta kokemusta.<br>2. Kokemus on tärkeää tässä työssä.<br>3. Kerro kokemuksestasi.	1. I have three years of experience.<br>2. Experience is important in this job.<br>3. Tell me about your experience.	topic::job_interviews topic::cv topic::applications
koulutus	education, training	1. Koulutukseni on yliopistosta.<br>2. Koulutus kestää kolme vuotta.<br>3. Kirjoitin koulutukseni hakemukseen.	1. My education is from a university.<br>2. The education lasts three years.<br>3. I wrote my education in the application.	topic::job_interviews topic::cv topic::applications
palkka	salary, wage	1. Palkka on hyvä.<br>2. Kysyin palkan haastattelussa.<br>3. Palkka maksetaan kerran kuussa.	1. The salary is good.<br>2. I asked about the salary in the interview.<br>3. The salary is paid once a month.	topic::job_interviews topic::cv topic::applications
ammatti	profession, occupation	1. Ammattini on opettaja.<br>2. Mikä on sinun ammattisi?<br>3. Halusin tämän ammatin lapsena.	1. My profession is teacher.<br>2. What is your profession?<br>3. I wanted this profession as a child.	topic::job_interviews topic::cv topic::applications
esitellä	to introduce, present	1. Esittelen itseni haastattelussa.<br>2. Hän esitteli osaamisensa hyvin.<br>3. Esittele itsesi lyhyesti.	1. I introduce myself in the interview.<br>2. She presented her skills well.<br>3. Introduce yourself briefly.	topic::job_interviews topic::cv topic::applications
osaaminen	skills, know-how	1. Minulla on hyvä kieliosaaminen.<br>2. Osaamiseni on laaja.<br>3. Kerro osaamisestasi.	1. I have good language skills.<br>2. My skills are broad.<br>3. Tell me about your skills.	topic::job_interviews topic::cv topic::applications
sopiva	suitable, right	1. Oletko sopiva tähän tehtävään?<br>2. Hän on sopiva hakija.<br>3. Tämä työ on sopiva minulle.	1. Are you suitable for this position?<br>2. She is a suitable applicant.<br>3. This job is right for me.	topic::job_interviews topic::cv topic::applications
vahvuus	strength	1. Kerro vahvuuksistasi.<br>2. Vahvuuteni on tiimityö.<br>3. Minulla on monta vahvuutta.	1. Tell me about your strengths.<br>2. My strength is teamwork.<br>3. I have many strengths.	topic::job_interviews topic::cv topic::applications
heikkous	weakness	1. Heikkouteni on täsmällisyys.<br>2. Kerro myös heikkoudestasi.<br>3. Harjoittelen heikkouteni parantamista.	1. My weakness is punctuality.<br>2. Tell me about your weakness too.<br>3. I practise improving my weakness.	topic::job_interviews topic::cv topic::applications
motivaatio	motivation	1. Motivaationi on suuri.<br>2. Mikä on motivaatiosi?<br>3. Minulla on hyvä motivaatio oppia.	1. My motivation is high.<br>2. What is your motivation?<br>3. I have good motivation to learn.	topic::job_interviews topic::cv topic::applications
tehtävä	task, position, duty	1. Tehtävä on mielenkiintoinen.<br>2. Mitkä ovat tehtäväsi?<br>3. Hain tähän tehtävään netissä.	1. The position is interesting.<br>2. What are your duties?<br>3. I applied for this position online.	topic::job_interviews topic::cv topic::applications
tiimi	team	1. Työskentelen tiimissä.<br>2. Tiimimme on pieni.<br>3. Pidän tiimityöstä.	1. I work in a team.<br>2. Our team is small.<br>3. I like teamwork.	topic::job_interviews topic::cv topic::applications
kieli	language	1. Osaan kolmea kieltä.<br>2. Suomi on minun ensimmäinen kieleni.<br>3. Kirjoitin hakemuksen suomen kielellä.	1. I know three languages.<br>2. Finnish is my first language.<br>3. I wrote the application in the Finnish language.	topic::job_interviews topic::cv topic::applications
vastata	to answer, to respond	1. Vastasin kaikkiin kysymyksiin.<br>2. Hän vastasi rauhallisesti.<br>3. Vastaa sähköpostiin nopeasti.	1. I answered all the questions.<br>2. He answered calmly.<br>3. Reply to the email quickly.	topic::job_interviews topic::cv topic::applications
kysymys	question	1. Haastattelija esitti vaikean kysymyksen.<br>2. Onko sinulla kysymyksiä?<br>3. Vastasin kaikkiin kysymyksiin hyvin.	1. The interviewer asked a difficult question.<br>2. Do you have any questions?<br>3. I answered all the questions well.	topic::job_interviews topic::cv topic::applications
pätevyys	qualification, competence	1. Minulla on tarvittava pätevyys.<br>2. Pätevyyteni käy ilmi ansioluettelosta.<br>3. Työ vaatii hyvää pätevyyttä.	1. I have the required qualification.<br>2. My qualification is clear from the CV.<br>3. The job requires good competence.	topic::job_interviews topic::cv topic::applications
suositus	recommendation, reference	1. Sain suosituksen entiseltä pomoiltani.<br>2. Liitä suositus hakemukseen.<br>3. Työnantaja pyysi suositusta.	1. I got a recommendation from my former boss.<br>2. Attach the reference to the application.<br>3. The employer asked for a reference.	topic::job_interviews topic::cv topic::applications
rekrytoida	to recruit, to hire	1. Yritys rekrytoi uusia työntekijöitä.<br>2. He rekrytoivat kesällä.<br>3. Minut rekrytoitiin nopeasti.	1. The company is recruiting new employees.<br>2. They recruit in summer.<br>3. I was hired quickly.	topic::job_interviews topic::cv topic::applications
työpaikka	workplace, job vacancy	1. Löysin hyvän työpaikan.<br>2. Työpaikka on kaupungin keskustassa.<br>3. Haen tätä avointa työpaikkaa.	1. I found a good job.<br>2. The workplace is in the city centre.<br>3. I am applying for this open job vacancy.	topic::job_interviews topic::cv topic::applications
saapua	to arrive	1. Saavuin haastatteluun ajoissa.<br>2. On tärkeää saapua ajoissa.<br>3. Hän saapui toimistoon kello yhdeksän.	1. I arrived at the interview on time.<br>2. It is important to arrive on time.<br>3. She arrived at the office at nine o'clock.	topic::job_interviews topic::cv topic::applications
valmistautua	to prepare	1. Valmistauduin haastatteluun kotona.<br>2. On hyvä valmistautua etukäteen.<br>3. Hän valmistautui hyvin.	1. I prepared for the interview at home.<br>2. It is good to prepare in advance.<br>3. She prepared well.	topic::job_interviews topic::cv topic::applications
täsmällinen	punctual, precise	1. Olen aina täsmällinen.<br>2. Täsmällisyys on tärkeää töissä.<br>3. Hän on erittäin täsmällinen henkilö.	1. I am always punctual.<br>2. Punctuality is important at work.<br>3. He is a very punctual person.	topic::job_interviews topic::cv topic::applications
joustava	flexible	1. Olen joustava työajoissa.<br>2. Työnantaja halusi joustavan henkilön.<br>3. Joustava asenne on tärkeää.	1. I am flexible with working hours.<br>2. The employer wanted a flexible person.<br>3. A flexible attitude is important.	topic::job_interviews topic::cv topic::applications
päätös	decision	1. Työnantaja tekee päätöksen ensi viikolla.<br>2. Odotan päätöstä kärsivällisesti.<br>3. Päätös tuli nopeasti.	1. The employer makes the decision next week.<br>2. I am waiting for the decision patiently.<br>3. The decision came quickly.	topic::job_interviews topic::cv topic::applications
