#separator:tab
#html:true
laittaa	to make, to put	1. Laitan ruokaa joka päivä.<br>2. Hän laittoi keittoa eilen.<br>3. Laitamme illallisen yhdessä.	1. I make food every day.<br>2. She made soup yesterday.<br>3. We make dinner together.	topic::food_preparation topic::recipes topic::ingredients
keittää	to boil, to cook	1. Keitän perunat vedessä.<br>2. Hän keitti kahvia aamulla.<br>3. Keitä pasta kymmenessä minuutissa.	1. I boil the potatoes in water.<br>2. He made coffee in the morning.<br>3. Boil the pasta in ten minutes.	topic::food_preparation topic::recipes topic::ingredients
paistaa	to fry, to bake, to roast	1. Paistin kanan uunissa.<br>2. Paistan munat voissa.<br>3. Hän paistoi leivän pannulla.	1. I roasted the chicken in the oven.<br>2. I fry the eggs in butter.<br>3. She fried the bread in a pan.	topic::food_preparation topic::recipes topic::ingredients
lisätä	to add	1. Lisään suolaa keittoon.<br>2. Hän lisäsi sokeria kahviin.<br>3. Lisää vettä taikinaan.	1. I add salt to the soup.<br>2. He added sugar to the coffee.<br>3. Add water to the dough.	topic::food_preparation topic::recipes topic::ingredients
sekoittaa	to mix, to stir	1. Sekoita ainekset hyvin.<br>2. Hän sekoitti taikinan lusikalla.<br>3. Sekoitin kastikkeen kulhossa.	1. Mix the ingredients well.<br>2. She stirred the dough with a spoon.<br>3. I mixed the sauce in a bowl.	topic::food_preparation topic::recipes topic::ingredients
leikata	to cut, to slice	1. Leikkaan tomaatin paloiksi.<br>2. Hän leikkasi leivän veitsellä.<br>3. Leikkaa sipuli pieniksi paloiksi.	1. I cut the tomato into pieces.<br>2. He sliced the bread with a knife.<br>3. Cut the onion into small pieces.	topic::food_preparation topic::recipes topic::ingredients
kuoria	to peel	1. Kuori perunat ensin.<br>2. Hän kuori appelsiinin.<br>3. Kuorin porkkanat veitsellä.	1. Peel the potatoes first.<br>2. She peeled the orange.<br>3. I peeled the carrots with a knife.	topic::food_preparation topic::recipes topic::ingredients
ainesosa	ingredient	1. Reseptissä on viisi ainesosaa.<br>2. Mitkä ainesosat tarvitaan?<br>3. Ostin kaikki ainesosat kaupasta.	1. The recipe has five ingredients.<br>2. What ingredients are needed?<br>3. I bought all the ingredients from the store.	topic::food_preparation topic::recipes topic::ingredients
resepti	recipe	1. Etsin hyvää reseptiä netistä.<br>2. Tämä resepti on helppo.<br>3. Hän seurasi reseptiä tarkasti.	1. I look for a good recipe online.<br>2. This recipe is easy.<br>3. She followed the recipe carefully.	topic::food_preparation topic::recipes topic::ingredients
uuni	oven	1. Laitan pizzan uuniin.<br>2. Uuni on kuuma.<br>3. Hän lämmitti uunin ensin.	1. I put the pizza in the oven.<br>2. The oven is hot.<br>3. He preheated the oven first.	topic::food_preparation topic::recipes topic::ingredients
pannu	pan, frying pan	1. Paistan munat pannulla.<br>2. Pannu on liedellä.<br>3. Hän pesi pannun ruoanlaiton jälkeen.	1. I fry eggs in the pan.<br>2. The pan is on the stove.<br>3. She washed the pan after cooking.	topic::food_preparation topic::recipes topic::ingredients
kattila	pot, saucepan	1. Laitan vettä kattilaan.<br>2. Keitto on kattilassa.<br>3. Hän osti uuden kattilan.	1. I put water in the pot.<br>2. The soup is in the pot.<br>3. He bought a new pot.	topic::food_preparation topic::recipes topic::ingredients
veitsi	knife	1. Tarvitsen terävän veitsen.<br>2. Hän leikkasi veitsellä.<br>3. Veitsi on laatikoessa.	1. I need a sharp knife.<br>2. She cut with a knife.<br>3. The knife is in the drawer.	topic::food_preparation topic::recipes topic::ingredients
lusikka	spoon	1. Sekoita lusikalla.<br>2. Hän otti lusikan kaapista.<br>3. Tarvitsen ison lusikan.	1. Stir with a spoon.<br>2. She took a spoon from the cupboard.<br>3. I need a big spoon.	topic::food_preparation topic::recipes topic::ingredients
kulho	bowl	1. Laitan ainekset kulhoon.<br>2. Hän sekoitti taikinan isossa kulhossa.<br>3. Kulhossa on salaatti.	1. I put the ingredients in a bowl.<br>2. He mixed the dough in a large bowl.<br>3. There is salad in the bowl.	topic::food_preparation topic::recipes topic::ingredients
liesi	stove, cooker	1. Kattila on liedellä.<br>2. Hän laittoi lieden päälle.<br>3. Sammuta liesi ruoanlaiton jälkeen.	1. The pot is on the stove.<br>2. She turned on the stove.<br>3. Turn off the stove after cooking.	topic::food_preparation topic::recipes topic::ingredients
suola	salt	1. Lisään suolaa keittoon.<br>2. Onko tässä tarpeeksi suolaa?<br>3. Hän unohti lisätä suolan.	1. I add salt to the soup.<br>2. Is there enough salt in this?<br>3. She forgot to add the salt.	topic::food_preparation topic::recipes topic::ingredients
sokeri	sugar	1. Laitan kakku kaksi ruokalusikallista sokeria.<br>2. Hän lisäsi sokeria taikinaan.<br>3. Haluatko sokeria kahviin?	1. I put two tablespoons of sugar in the cake.<br>2. He added sugar to the dough.<br>3. Do you want sugar in your coffee?	topic::food_preparation topic::recipes topic::ingredients
voi	butter	1. Paistan voissa.<br>2. Hän laittoi voita leivälle.<br>3. Tarvitsen voita tähän reseptiin.	1. I fry in butter.<br>2. She put butter on the bread.<br>3. I need butter for this recipe.	topic::food_preparation topic::recipes topic::ingredients
öljy	oil	1. Lisään öljyä pannulle.<br>2. Hän käytti oliiviöljyä salaatissa.<br>3. Paista öljyssä keskilämmöllä.	1. I add oil to the pan.<br>2. She used olive oil in the salad.<br>3. Fry in oil on medium heat.	topic::food_preparation topic::recipes topic::ingredients
jauho	flour	1. Lisää jauhot kulhoon.<br>2. Tarvitsen kolme desilitraa jauhoja.<br>3. Hän sekoitti jauhot maitoon.	1. Add the flour to the bowl.<br>2. I need three decilitres of flour.<br>3. She mixed the flour into the milk.	topic::food_preparation topic::recipes topic::ingredients
maito	milk	1. Lisää maitoa taikinaan.<br>2. Hän osti maitoa kaupasta.<br>3. Kastike tehdään maidosta.	1. Add milk to the dough.<br>2. He bought milk from the store.<br>3. The sauce is made from milk.	topic::food_preparation topic::recipes topic::ingredients
muna	egg	1. Lisää kaksi munaa taikinaan.<br>2. Hän keitti munan aamupalaksi.<br>3. Paistan munat pannulla.	1. Add two eggs to the dough.<br>2. She boiled an egg for breakfast.<br>3. I fry eggs in the pan.	topic::food_preparation topic::recipes topic::ingredients
peruna	potato	1. Keitän perunat vedessä.<br>2. Hän kuori perunat ennen ruoanlaittoa.<br>3. Syömme perunoita päivällisellä.	1. I boil the potatoes in water.<br>2. He peeled the potatoes before cooking.<br>3. We eat potatoes at dinner.	topic::food_preparation topic::recipes topic::ingredients
sipuli	onion	1. Leikkaan sipulin pieniksi paloiksi.<br>2. Hän paistoi sipulia pannulla.<br>3. Sipuli antaa hyvän maun.	1. I cut the onion into small pieces.<br>2. She fried the onion in a pan.<br>3. The onion gives a good flavor.	topic::food_preparation topic::recipes topic::ingredients
valkosipuli	garlic	1. Lisään valkosipulia kastikkeeseen.<br>2. Hän hienosi valkosipulin.<br>3. Rakastan valkosipulin makua.	1. I add garlic to the sauce.<br>2. He chopped the garlic.<br>3. I love the taste of garlic.	topic::food_preparation topic::recipes topic::ingredients
mauste	spice, seasoning	1. Lisää mausteet lopuksi.<br>2. Hän käytti paljon mausteita.<br>3. Mitkä mausteet sopivat tähän?	1. Add the spices at the end.<br>2. She used a lot of spices.<br>3. Which spices suit this?	topic::food_preparation topic::recipes topic::ingredients
lämpötila	temperature	1. Uunin lämpötila on 200 astetta.<br>2. Mikä on oikea lämpötila?<br>3. Hän tarkisti lämpötilan.	1. The oven temperature is 200 degrees.<br>2. What is the right temperature?<br>3. He checked the temperature.	topic::food_preparation topic::recipes topic::ingredients
kypsä	cooked, ripe, done	1. Onko ruoka jo kypsää?<br>2. Perunat ovat kypsiä.<br>3. Liha ei ole vielä kypsää.	1. Is the food cooked yet?<br>2. The potatoes are done.<br>3. The meat is not done yet.	topic::food_preparation topic::recipes topic::ingredients
tuore	fresh	1. Ostan tuoreita vihanneksia.<br>2. Tuore leipä maistuu hyvältä.<br>3. Hän käytti tuoreita yrttejä.	1. I buy fresh vegetables.<br>2. Fresh bread tastes good.<br>3. She used fresh herbs.	topic::food_preparation topic::recipes topic::ingredients
